fname|hd_leaves|hd_pages|hd_type|hd_script|div_rend|div_rendition|div_type
d19260727_kantorowicz_stein.xml|1 Bl.|1 S.|lt|ms|pc|1 Bl., 1 S.|ms
d19260911_kantorowicz_langlotz.xml|2 Bl.|3 S.|lt|ts|ts;2 Bl., 3 S.||lt
d19261114_kantorowicz_stein.xml|1 Bl.|1 S.|lt|ms|lt|1 Bl., 1 S.|ms
d19261123_kantorowicz_stein.xml|1 Bl.|2 S.|lt|ms|lt|1 Bl., 2 S.|ms
d192612xx_kantorowicz_george.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19270112_kantorowicz_hampe.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19270522_kantorowicz_gundolf.xml|1 Bl.|2 S.|pc|ms|ms;1 Bl., 2 S.||pc
d19270902_kantorowicz_radbruch.xml|2 Bl.|3 S.|lt|ms|ms;2 Bl., 3 S.||lt
d19270927_kantorowicz_stein.xml|1 Bl.|1 S.|lt|ms|lt|1 Bl., 1 S.|ms
d19271001_kantorowicz_gundolf.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19271120_kantorowicz_radbruch.xml|2 Bl.|4 S.|lt|ms|ms;2 Bl., 4 S.||lt
d19271219_kantorowicz_stein.xml|1 Bl.|2 S.|lt|ms|pc|1 Bl., 2 S.|ms
d19271220_kantorowicz_hampe.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||lt
d19280106_kantorowicz_hampe.xml|1 Bl.|1 S.|lt|ts|ts;1 Bl., 1 S.||lt
d19280404_kantorowicz_stein.xml|1 Bl.|2 S.|lt|ms|pc|1 Bl., 2 S.|ms
d19280617_kantorowicz_gundolf.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19280621_kantorowicz_gundolf.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d192806xx_kantorowicz_george.xml|1 Bl.|1 S.|lt|ms|ms;1 Bl., 1 S.||lt
d19280708_kantorowicz_george.xml|1 Bl.|2 S.|lt|ms|ms;1 Bl., 2 S.||lt
d19280717_kantorowicz_stein.xml|1 Bl.|2 S.|lt|ms|pc|1 Bl., 2 S.|ms
d19280808_kantorowicz_stein.xml|1 Bl.|2 S.|lt|ms|lt|1 Bl., 2 S.|ms
d19280827_kantorowicz_schramm.xml|2 Bl.|4 S.|lt|ms|ms|2 Bl., 4 S.|lt
